country,city,biweek1,biweek2,biweek3,biweek4,biweek5,biweek6,biweek7,biweek8,biweek9,biweek10,biweek11,biweek12,biweek13,biweek14,biweek15,biweek16,biweek17,biweek18,biweek19,biweek20,biweek21,biweek22,biweek23,biweek24,biweek25,biweek26
US,BALTIMORE,40.96902922,36.26137846,39.59123288,41.61026987,36.30879452,38.91905598,37.14479667,41.08364094,38.16067551,32.91104101,25.78058588,23.47612124,19.25164853,18.12824215,20.01339824,17.11766025,31.99753998,32.45390276,22.35486576,45.00968778,44.46297688,45.71202041,38.04348277,35.44718351,28.88556291,56.32289657
US,BOSTON,37.94589076,40.48362521,33.55229697,35.3222193,40.30065343,39.65497067,35.90717069,37.39709955,34.62328094,36.45927685,31.24399904,26.17420775,24.13087137,18.13671558,16.98335916,19.87211698,22.51049643,25.66872096,42.52782533,39.96383433,42.46376669,38.28654088,42.93569104,39.70481253,35.71932727,41.62193667
US,BRIDGEPORT,32.84357277,27.49181835,37.41687054,29.29126342,39.10855235,41.42013246,43.29679954,42.98579428,35.81484978,35.91302169,33.30539782,23.6629392,26.23363448,18.25188083,25.99520439,16.38363876,19.94570541,25.14075907,44.5015477,38.38205341,34.25911364,27.92322661,57.87698818,39.68281741,38.17529298,51.98391574
US,BUFFALO,33.01516994,35.5126944,34.57852928,46.87999228,35.09598451,39.49251715,37.67422927,36.76098285,33.782736,33.85608681,30.03080242,25.5096646,19.9046331,14.15871127,18.98954636,20.11892027,19.63837033,29.01874953,38.65731479,43.45041939,45.24954902,46.46788247,34.3592891,43.59158232,34.18794574,43.44249129
US,CHICAGO,38.1274795,41.02649345,39.19056927,42.88646853,42.75070678,39.40627087,39.77742687,38.91152925,37.3087849,33.15957662,33.156588,29.57136268,23.0113016,18.48150379,16.11871741,22.06466558,21.81271772,34.89716241,30.06870063,40.55212949,48.4415466,40.18793265,37.55569773,40.85867605,31.2700805,49.77809937
US,CINCINNATI,33.49689003,37.55814307,42.00873443,44.78536292,36.90839163,41.32224023,42.84220075,35.41435599,39.21700678,26.77614147,34.26881639,23.32339761,23.0307663,16.42397578,18.80255658,17.98644948,33.19354874,20.78042797,26.94213171,48.03857807,42.92711432,20.6859143,52.86500598,43.68502431,33.1028668,35.24490056
US,CLEVELAND,33.9230777,36.51777721,47.97641637,37.43518078,43.39602317,36.69129287,40.8264497,39.19574285,43.68516333,34.99287183,38.85733221,24.18028265,23.64930024,18.07205184,18.43380696,20.4957703,17.5551546,28.97543485,29.23505497,36.34857661,44.93781612,38.48580635,41.02000517,45.47106713,29.12784912,42.52099797
US,COLUMBUS,33.76511986,46.0548272,44.90062156,34.00496115,46.17158755,32.39544179,40.01379007,36.40414952,37.05600775,35.79191313,26.45527394,27.33624564,17.99391671,14.56461298,14.42917181,21.67930832,24.47762538,58.87850895,18.60531427,21.4968161,37.12710036,43.64330501,35.77613917,42.89871297,29.19135381,50.98690546
US,DENVER,31.99055096,42.04705339,44.40552683,44.55923878,41.1676202,38.1656563,38.65180057,40.27656301,38.54709361,33.84510089,27.13451373,30.12748311,16.57904427,22.47232293,17.13806807,18.43318209,28.66252062,33.59739489,36.14622603,35.30069355,24.10958377,46.11757027,39.22234831,39.54836916,29.58932199,49.87001244
US,DETROIT,35.2959129,38.75792282,45.80458965,42.84948904,43.67988097,41.04322055,38.14575725,36.95695654,36.9697453,39.65543146,35.3417633,23.07643597,19.8601545,15.68290907,21.47018607,20.94743936,19.5312849,37.00166995,35.05795914,48.5413024,39.97538179,44.38323599,35.87875445,45.2702763,22.27720782,52.01473647
US,DULUTH,30.45061314,44.10280227,37.16117476,35.89758992,43.62953844,31.75147254,59.22254322,56.6413346,52.18710525,42.45925289,54.34030893,35.16018243,29.06661398,16.34438588,27.33918108,17.97432773,11.83967345,33.8545216,25.89223148,31.75406423,31.92678293,40.00599357,31.85989581,53.04888996,30.77470059,40.39751108
US,FALL RIVER,32.60054197,42.13023234,30.15505357,35.8100266,35.74983442,38.18871582,32.27470133,31.06932544,52.12416792,28.03427982,38.16694297,25.22386153,26.19198237,25.81869996,16.64910604,19.0803003,20.44121466,33.90056539,46.0964142,30.25143678,35.69132479,30.0778763,35.06531607,35.08593824,31.01278779,51.4721835
